source_place_id,source_place_name,source_coordinates,nearby_rank,nearby_place_id,nearby_place_name,nearby_coordinates,walking_distance,walking_time,driving_distance,driving_time
VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",3,VNS020,Subah-e-Banaras at Assi Ghat,"25.2882, 82.9996",360 m,4 mins,0.36 km,2 mins
VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",4,VNS035,Tulsi Ghat,"25.2895, 83.001",630 m,7 mins,0.63 km,2 mins
VNS012,Durga Kund Temple (Durga Mandir),"25.2862, 82.9981",5,VNS010,Sankat Mochan Hanuman Temple,"25.2818, 82.9972",670 m,8 mins,0.67 km,2 mins
VNS013,Bharat Mata Mandir,"25.3175, 82.9892",1,VNS049,Batuk Bhairav Temple,"25.305, 82.992",1.91 km,22 mins,1.91 km,6 mins
VNS013,Bharat Mata Mandir,"25.3175, 82.9892",2,VNS031,Thatheri Bazaar,"25.314, 83.0095",2.8 km,33 mins,2.8 km,9 mins
VNS013,Bharat Mata Mandir,"25.3175, 82.9892",3,VNS029,Godowlia Market,"25.309, 83.008",2.85 km,34 mins,2.85 km,9 mins
VNS013,Bharat Mata Mandir,"25.3175, 82.9892",4,VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",2.9 km,34 mins,2.9 km,9 mins
VNS013,Bharat Mata Mandir,"25.3175, 82.9892",5,VNS038,Tilbhandeshwar Mahadev Temple,"25.3015, 83.0012",2.9 km,34 mins,2.9 km,9 mins
VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",1,VNS031,Thatheri Bazaar,"25.314, 83.0095",730 m,8 mins,0.73 km,2 mins
VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",2,VNS024,Panchganga Ghat,"25.3156, 83.0181",1.14 km,13 mins,1.14 km,3 mins
VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",3,VNS044,Bhonsale Ghat,"25.313, 83.016",1.15 km,13 mins,1.15 km,3 mins
VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",4,VNS036,Alamgir Mosque (Beniyabagh / Panchganga),"25.316, 83.0185",1.16 km,13 mins,1.16 km,3 mins
VNS014,Kaal Bhairav Temple,"25.3188, 83.0105",5,VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",1.19 km,14 mins,1.19 km,3 mins
VNS015,Annapurna Temple,"25.3106, 83.0104",1,VNS002,Kashi Vishwanath Temple,"25.3109, 83.0107",100 m,1 mins,0.1 km,2 mins
